start_id,end_id
10.1109/ICICIS56802.2023.10430275,"International Conference on Integration of Computational Intelligent System, ICICIS"
10.1145/3592307.3592335,"International Conference on Electronics, Communications and Control Engineering, ICECC"
10.1109/NEleX59773.2023.10421720,"IEEE International Conference on Next Generation Electronics, NEleX"
10.4230/LIPIcs.ICDT.2023.14,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.7,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.5,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.8,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2023.22,"International Conference on Database Theory, ICDT"
10.4230/LIPIcs.ICDT.2024.15,"International Conference on Database Theory, ICDT"
10.1145/3555776.3577772,"Annual ACM Symposium on Applied Computing, SAC"
10.1109/ICRASET59632.2023.10420257,"International Conference on Recent Advances in Science and Engineering Technology, ICRASET"
10.1109/SIoT60039.2023.10389856,"Symposium on Internet of Things, SIoT"
10.1145/3539618.3592061,"International ACM SIGIR Conference on Research and Development in Information Retrieval, SIGIR"
,"Workshop on Generalisation (Benchmarking) in NLP, GenBench"
10.1109/ICITDA60835.2023.10426919,"International Conference on Information Technology and Digital Applications, ICITDA"
10.1109/ICACTA58201.2023.10392861,"International Conference on Advanced Computing Technologies and Applications, ICACTA"
10.22489/CinC.2023.116,"Computing in Cardiology, CinC"
10.1145/3543873.3587563,"World Wide Web Conference, WWW"
10.1109/IEMENTech60402.2023.10423480,"International Conference on Electronics, Materials Engineering and Nano-Technology, IEMENTech"
10.1145/3592980.3595323,"International Workshop on Data Management on New Hardware, DaMoN"
,Findings of the Association for Computational Linguistics: EMNLP
,"International Conference on Informatics and Data-Driven Medicine, IDDM"
10.1145/3592980.3595312,"International Workshop on Data Management on New Hardware, DaMoN"
10.1016/j.procs.2023.12.161,"International Conference on Current and Future Trends of Information and Communication Technologies in Healthcare, EUSPN/ICTH"
10.1109/DESSERT61349.2023.10416500,"International Conference on Dependable Systems, Services and Technologies, DESSERT"
,"International Scientific Conference ""Information Technology and Implementation"", IT and I-WS"
10.1145/3584372.3588667,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
10.48786/edbt.2023.74,"International Conference on Extending Database Technology, EDBT"
10.1109/VCIP59821.2023.10402708,"IEEE International Conference on Visual Communications and Image Processing, VCIP"
10.1117/12.3021828,"International Conference on Biological Engineering and Medical Science, ICBioMed"
10.1145/3579856.3582826,"ACM ASIA Conference on Computer and Communications Security, ASIA CCS"
10.1109/DESSERT61349.2023.10416531,"International Conference on Dependable Systems, Services and Technologies, DESSERT"
10.1145/3584372.3589935,"ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS"
10.1145/3579027.3608990,"ACM International Systems and Software Product Line Conference, SPLC"
10.1109/LA-CCI58595.2023.10409478,"IEEE Latin American Conference on Computational Intelligence, LA-CCI"
10.1109/ICSC58660.2023.10449764,"IEEE International Conference on Systems and Control, ICSC"
10.1109/ICECA58529.2023.10395674,"International Conference on Electronics, Communication and Aerospace Technology, ICECA"
