proceeding_name,city
"19th Machine Translation Summit, MT Summit 2023",Macau
"7th International Conference on Big Data and Internet of Things, BDIOT 2023",Beijing
"2023 5th International Conference on Artificial Intelligence and Computer Applications, ICAICA 2023",Dalian
"International Conference on Artificial Intelligence, Blockchain, Computing and Security, ICABCS 2023",Greater Noida
"2023 IEEE Symposium on Visualization for Cyber Security, VizSec 2023","Hybrid, Melbourne"
"8th International Conference on Multimedia Systems and Signal Processing, ICMSSP 2023",Shenzhen
"2023 World Wide Web Conference, WWW 2023",Austin
"42nd ACM SIGMOD-SIGACT-SIGAI Symposium on Principles of Database Systems, PODS 2023",Seattle
"31st ACM SIGSPATIAL International Conference on Advances in Geographic Information Systems, ACM SIGSPATIAL GIS 2023",Hamburg
"2023 Conference on Empirical Methods in Natural Language Processing, EMNLP 2023","Hybrid, Singapore"
"29th ACM Symposium on Operating Systems Principles, SOSP 2023",Koblenz
"22th International Conference on Database Theory, ICDT 2019",Ioannina
"1st IEEE Afro-Mediterranean Conference on Artificial Intelligence, AMCAI 2023",Hammamet
"25th International Conference on Grey Literature: Confronting Climate Change with Trusted Grey Resources, GL 2023",Amsterdam
"2023 International Conference on Electronics and Devices, Computational Science, ICEDCS 2023",Marseille
"48th International Symposium on Mathematical Foundations of Computer Science, MFCS 2023",Bordeaux
"11th International Symposium on Computing and Networking, CANDAR 2023",Matsue
"8th Conference on Computing Education Practice, CEP 2024",Durham
"6th IEEE Conference on Dependable and Secure Computing, DSC 2023",Tampa
"21st OITS International Conference on Information Technology, OCIT 2023",Raipur
"6th International Conference on Information and Communications Technology, ICOIACT 2023",Yogyakarta
"16th International Conference on Theory and Practice of Electronic Governance, ICEGOV 2023",Belo Horizonte
"6th IEEE Pune Section International Conference, PuneCon 2023",Pune
"2023 CHI Conference on Human Factors in Computing Systems, CHI 2023",Hamburg
"32nd International Symposium on High-Performance Parallel and Distributed Computing, HPDC 2023",Orlando
"2023 ACM/IEEE International Conference on Model Driven Engineering Languages and Systems, MODELS-C 2023",Vasteras
"32nd ACM SIGSOFT International Symposium on Software Testing and Analysis, ISSTA 2023",Seattle
"3rd International Conference on Biological Engineering and Medical Science, ICBioMed 2023","Virtual, Online"
"8th IEEE Asia Pacific Conference on Wireless and Mobile, APWiMob 2023",Bali
"2023 ACM Turing Award Celebration Conference, CHINA 2023",Wuhan
"2nd International Conference on Intelligent Computing and Next Generation Networks, ICNGN 2023",Hangzhou
